Name,Price,Features,Ratings,Sentiments
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/51...,"₹53,990","15.6 Inch, Black, 1.99 Kg",4.3,Positive
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Wi...,"₹60,990","15.6 inch, Performance Blue",4.4,Positive
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB ...,"₹57,990","15.6 inch, Performance Blue, 2.3 Kg",4.4,Positive
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512...,"₹59,990","15.6 Inch, Black, 1.99 Kg",4.3,Positive
SpinBot Silver Fiber Thumb & Finger Sleeves 2 Pair(4 Pi...,₹349,"Silver, For iOS, Android",4.0,Positive
HP Victus 15 Intel Core i5 13th Gen 13420H - (16 GB/512...,"₹74,990","15.6 inch, Performance Blue, 2.3 Kg, With MS Office",4.4,Positive
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB...,"₹88,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.5,Positive
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/51...,"₹62,990","15.6 Inch, Black, 1.99 Kg",4.3,Positive
"SpinBot BattleMods NinjaX For BGMI,PUBG,COD Free Fire  ...",₹693,"Black, For Android, iOS",4.0,Positive
SpinBot IceDot semi-conducter based Mobile Cooler for A...,"₹1,250","Black, For Android, iOS",4.1,Positive
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 1...,"₹49,990","17.3 Inch, Graphite Black, 2.60 kg",4.3,Positive
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹49,990","15.6 inch, Graphite Black, 2.30 Kg, With MS Office",3.8,Negative
