Name,Price,Features,Ratings,Sentiments,Scaled_Ratings,Cluster
Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 ...,"₹56,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive,0.86,1
ASUS TUF Gaming A15 AMD Ryzen 5 Hexa Core 7535HS - (16 ...,"₹55,990","15.6 Inch, Graphite Black, 2.30 Kg",4.4,Positive,0.8800000000000001,1
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/51...,"₹53,990","15.6 Inch, Black, 1.99 Kg",4.3,Positive,0.86,1
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Wi...,"₹60,990","15.6 inch, Performance Blue",4.4,Positive,0.8800000000000001,1
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB ...,"₹57,990","15.6 inch, Performance Blue, 2.3 Kg",4.4,Positive,0.8800000000000001,1
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 ...,"₹58,990","15.6 inch, Luna Grey, 2.38 kg",4.3,Positive,0.86,1
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (8 GB/512...,"₹59,990","15.6 Inch, Black, 1.99 Kg",4.3,Positive,0.86,1
SpinBot Silver Fiber Thumb & Finger Sleeves 2 Pair(4 Pi...,₹349,"Silver, For iOS, Android",4.0,Positive,0.8,0
HP Victus 15 Intel Core i5 13th Gen 13420H - (16 GB/512...,"₹74,990","15.6 inch, Performance Blue, 2.3 Kg, With MS Office",4.4,Positive,0.8800000000000001,1
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB...,"₹88,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.5,Positive,0.9,1
MSI Thin 15 Intel Core i5 13th Gen 13420H - (16 GB/512 ...,"₹56,990","15.6 Inch, Cosmos Gray, 1.86 Kg",4.0,Positive,0.8,0
MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/51...,"₹56,990","15.6 Inch, Translucent Black, 1.98 Kg",4.6,Positive,0.9199999999999999,1
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/51...,"₹62,990","15.6 Inch, Black, 1.99 Kg",4.3,Positive,0.86,1
"SpinBot BattleMods NinjaX For BGMI,PUBG,COD Free Fire  ...",₹693,"Black, For Android, iOS",4.0,Positive,0.8,0
SpinBot IceDot semi-conducter based Mobile Cooler for A...,"₹1,250","Black, For Android, iOS",4.1,Positive,0.82,0
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 1...,"₹49,990","17.3 Inch, Graphite Black, 2.60 kg",4.3,Positive,0.86,1
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 1...,"₹49,990","15.6 inch, Graphite Black, 2.30 Kg, With MS Office",3.8,Negative,0.76,0
Lenovo LOQ AMD Ryzen 5 Quad Core 7235HS - (12 GB/512 GB...,"₹54,990","15.6 Inch, Luna Grey, 2.38 Kg, With MS Office",4.4,Positive,0.8800000000000001,1
ASUS TUF Gaming F17 - AI Powered Gaming Intel Core i5 1...,"₹47,990","17.3 Inch, Graphite Black, 2.60 kg",4.3,Positive,0.86,1
Acer Nitro V AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 ...,"₹65,990","15.6 Inch, Obsidian Black, 2.1 Kg",4.3,Positive,0.86,1
MSI Katana A15 AI AMD Ryzen 7 Octa Core 8845HS - (16 GB...,"₹96,990","15.6 Inch, Black, 2.25 Kg",4.4,Positive,0.8800000000000001,1
